  Muni Age    Pop
130070   1   1397
130070   5   1920
130070  10   2009
130070  15   1804
130070  20   1504
130070  25   1297
130070  30   1146
130070  35    974
130070  40    810
130070  45    638
130070  50    546
130070  55    452
130070  60    324
130070  65    314
130070  70    202
130070  75    150
130070  80    151
130080   0    447
130080   1   1880
130080   5   2377
130080  10   2363
130080  15   2188
130080  20   1634
130080  25   1561
130080  30   1207
130080  35    965
130080  40    780
130080  45    646
130080  50    536
130080  55    470
130080  60    333
130080  65    274
130080  70    206
130080  75    160
130080  80    210
130083   0    111
130083   1    579
130083   5    679
130083  10    783
130083  15    651
130083  20    525
130083  25    502
130083  30    451
130083  35    338
130083  40    284
130083  45    192
130083  50    188
130083  55    159
130083  60    131
130083  65    104
130083  70     62
130083  75     41
130083  80     32
130090   0    108
130090   1    573
130090   5    740
130090  10    772
130090  15    646
130090  20    624
130090  25    636
130090  30    642
130090  35    435
130090  40    371
130090  45    367
130090  50    258
130090  55    218
130090  60    156
130090  65    141
130090  70     80
130090  75     61
130090  80     44
130100   0    338
130100   1   1334
130100   5   1795
130100  10   1916
130100  15   1583
130100  20   1260
130100  25    983
130100  30    854
130100  35    682
130100  40    558
130100  45    509
130100  50    368
130100  55    334
130100  60    223
130100  65    217
130100  70    112
130100  75    106
130100  80     87
130110   0    340
130110   1   1452
130110   5   2050
130110  10   2171
130110  15   1705
130110  20   1424
130110  25   1319
130110  30   1356
130110  35   1100
130110  40    949
130110  45    773
130110  50    658
130110  55    519
130110  60    367
130110  65    335
130110  70    190
130110  75    144
130110  80    138
130115   0    220
130115   1    990
130115   5   1377
130115  10   1521
130115  15   1316
130115  20   1078
130115  25    896
130115  30    875
130115  35    912
130115  40    837
130115  45    661
130115  50    499
130115  55    405
130115  60    352
130115  65    308
130115  70    204
130115  75    125
130115  80    112
130120   0    838
130120   1   3788
130120   5   4765
130120  10   5142
130120  15   4690
130120  20   4312
130120  25   3600
130120  30   2851
130120  35   2156
130120  40   1678
130120  45   1488
130120  50   1168
130120  55    884
130120  60    672
130120  65    530
130120  70    391
130120  75    249
130120  80    274
130130   0    197
130130   1   1122
130130   5   1588
130130  10   1523
130130  15   1419
130130  20   1223
130130  25    989
130130  30    917
130130  35    708
130130  40    587
130130  45    491
130130  50    339
130130  55    277
130130  60    235
130130  65    199
130130  70    116
130130  75     81
130130  80     96
130140   0    395
130140   1   1762
130140   5   2131
130140  10   2015
130140  15   1905
130140  20   1517
130140  25   1341
130140  30   1031
130140  35    801
130140  40    696
130140  45    523
130140  50    466
130140  55    339
130140  60    251
130140  65    243
130140  70    141
130140  75     92
130140  80    130
130150   0    196
130150   1    873
130150   5   1149
130150  10   1175
130150  15    999
130150  20    844
130150  25    715
130150  30    627
130150  35    431
130150  40    360
130150  45    272
130150  50    183
130150  55    156
130150  60     96
130150  65     93
130150  70     69
130150  75     90
130150  80     64
130160   0    271
130160   1   1418
130160   5   1518
130160  10   1497
130160  15   1266
130160  20   1197
130160  25   1013
130160  30    778
130160  35    702
130160  40    523
130160  45    354
130160  50    309
130160  55    279
130160  60    212
130160  65    169
130160  70    139
130160  75     79
130160  80    100
130165   0    162
130165   1    737
130165   5   1052
130165  10   1074
130165  15    930
130165  20    698
130165  25    555
130165  30    423
130165  35    359
130165  40    350
130165  45    253
130165  50    176
130165  55    140
130165  60    122
130165  65     93
130165  70     53
130165  75     40
130165  80     48
130170   0    396
130170   1   1899
130170   5   2696
130170  10   3130
130170  15   2706
130170  20   2239
130170  25   1995
130170  30   1603
130170  35   1373
130170  40   1137
130170  45   1021
130170  50    786
130170  55    681
130170  60    530
130170  65    403
130170  70    265
130170  75    191
130170  80    153
130180   0    381
