Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
280430 Muribeca;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;2;0;2;0;9
280440 Neópolis;0;2;1;0;3;3;0;1;0;0;0;0;4;2;1;3;1;3;10;5;2;18;0;56
280445 Nossa Senhora Aparecida;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;0;2;3;0;10
280450 Nossa Senhora da Glória;3;0;5;0;8;1;0;0;1;0;0;2;0;1;4;0;3;4;2;1;2;9;0;38
280460 Nossa Senhora das Dores;3;0;2;0;5;3;0;1;0;1;2;0;2;3;1;1;1;2;1;3;8;15;0;49
280470 Nossa Senhora de Lourdes;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;4;0;10
280480 Nossa Senhora do Socorro;21;2;13;0;36;6;3;6;7;5;5;3;8;12;7;12;3;10;10;17;16;30;0;196
280490 Pacatuba;4;1;3;0;8;0;0;0;0;0;0;1;0;0;0;1;1;0;1;3;4;10;0;29
280500 Pedra Mole;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;2;1;2;0;0;8
280510 Pedrinhas;1;0;3;0;4;0;0;0;0;0;0;0;2;0;1;0;1;0;1;1;4;5;0;19
280520 Pinhão;1;0;1;0;2;2;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;2;0;12
280530 Pirambu;3;0;0;0;3;2;0;0;1;0;0;0;0;1;1;1;1;0;1;0;1;1;0;13
280540 Poço Redondo;6;1;3;0;10;1;0;0;1;0;1;0;0;2;0;0;3;1;2;0;2;3;0;26
280550 Poço Verde;3;0;0;0;3;0;0;0;0;0;2;0;0;0;3;2;2;3;10;7;3;15;0;50
280560 Porto da Folha;3;0;2;0;5;2;1;0;1;0;0;1;0;0;1;1;1;1;0;2;9;8;0;33
280570 Propriá;7;3;6;0;16;1;0;0;1;1;1;3;1;5;2;5;3;5;10;10;7;17;0;88
280580 Riachão do Dantas;0;1;1;0;2;2;0;0;1;1;0;1;1;0;2;0;1;4;1;7;5;13;0;41
280590 Riachuelo;1;0;0;0;1;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;8;0;13
280600 Ribeirópolis;4;0;1;0;5;0;1;0;0;1;1;0;0;4;1;0;1;1;6;6;3;12;0;42
280610 Rosário do Catete;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;4;0;2;0;0;4;0;13
280620 Salgado;2;0;0;0;2;1;0;1;0;1;0;2;1;1;2;2;1;0;5;5;2;12;0;38
280630 Santa Luzia do Itanhy;2;0;1;0;3;2;0;0;0;0;0;0;1;1;1;2;4;2;4;2;1;4;0;27
280650 Santa Rosa de Lima;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4
280640 Santana do São Francisco;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;5
280660 Santo Amaro das Brotas;0;0;1;0;1;0;0;0;1;0;0;0;1;2;1;0;2;2;1;0;1;4;0;16
280670 São Cristóvão;10;1;6;0;17;6;0;2;2;4;2;3;2;6;9;9;9;12;19;13;18;45;0;178
280680 São Domingos;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;1;0;2;2;6;0;15
280690 São Francisco;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;4
280700 São Miguel do Aleixo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
280710 Simão Dias;2;0;2;0;4;0;1;0;2;2;2;1;1;3;5;9;6;6;8;11;13;32;0;106
280720 Siriri;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;5;0;10
