"","Muni","Age","Death"
"790","110149",70,"   0"
"791","110149",75,"   0"
"792","110149",80,"   0"
"793","110032",0,"   1"
"794","110032",1,"  0"
"795","110032",5,"  0"
"796","110032",10,"  1"
"797","110032",15,"  0"
"798","110032",20,"  0"
"799","110032",25,"  0"
"800","110032",30,"  0"
"801","110032",35,"  0"
"802","110032",40,"  0"
"803","110032",45,"   2"
"804","110032",50,"   0"
"805","110032",55,"   2"
"806","110032",60,"   1"
"807","110032",65,"   1"
"808","110032",70,"   1"
"809","110032",75,"   1"
"810","110032",80,"   0"
"811","110150",0,"   2"
"812","110150",1,"  0"
"813","110150",5,"  0"
"814","110150",10,"  0"
"815","110150",15,"  2"
"816","110150",20,"  0"
"817","110150",25,"  1"
"818","110150",30,"  0"
"819","110150",35,"  1"
"820","110150",40,"  0"
"821","110150",45,"   1"
"822","110150",50,"   2"
"823","110150",55,"   0"
"824","110150",60,"   0"
"825","110150",65,"   1"
"826","110150",70,"   1"
"827","110150",75,"   1"
"828","110150",80,"   1"
"829","110155",0,"   0"
"830","110155",1,"  1"
"831","110155",5,"  0"
"832","110155",10,"  0"
"833","110155",15,"  0"
"834","110155",20,"  0"
"835","110155",25,"  1"
"836","110155",30,"  0"
"837","110155",35,"  0"
"838","110155",40,"  1"
"839","110155",45,"   0"
"840","110155",50,"   0"
"841","110155",55,"   0"
"842","110155",60,"   0"
"843","110155",65,"   1"
"844","110155",70,"   0"
"845","110155",75,"   0"
"846","110155",80,"   2"
"847","110160",0,"   0"
"848","110160",1,"  1"
"849","110160",5,"  1"
"850","110160",10,"  0"
"851","110160",15,"  0"
"852","110160",20,"  0"
"853","110160",25,"  0"
"854","110160",30,"  1"
"855","110160",35,"  0"
"856","110160",40,"  1"
"857","110160",45,"   0"
"858","110160",50,"   0"
"859","110160",55,"   1"
"860","110160",60,"   0"
"861","110160",65,"   0"
"862","110160",70,"   0"
"863","110160",75,"   1"
"864","110160",80,"   3"
"865","110170",0,"   1"
"866","110170",1,"  0"
"867","110170",5,"  0"
"868","110170",10,"  1"
"869","110170",15,"  0"
"870","110170",20,"  0"
"871","110170",25,"  0"
"872","110170",30,"  2"
"873","110170",35,"  0"
"874","110170",40,"  1"
"875","110170",45,"   3"
"876","110170",50,"   0"
"877","110170",55,"   1"
"878","110170",60,"   1"
"879","110170",65,"   1"
"880","110170",70,"   0"
"881","110170",75,"   1"
"882","110170",80,"   1"
"883","110175",0,"   0"
"884","110175",1,"  1"
"885","110175",5,"  0"
"886","110175",10,"  0"
"887","110175",15,"  1"
"888","110175",20,"  0"
"889","110175",25,"  0"
"890","110175",30,"  0"
"891","110175",35,"  0"
"892","110175",40,"  1"
"893","110175",45,"   0"
"894","110175",50,"   0"
"895","110175",55,"   0"
"896","110175",60,"   1"
"897","110175",65,"   0"
"898","110175",70,"   0"
"899","110175",75,"   0"
"900","110175",80,"   0"
"901","110180",0,"   0"
"902","110180",1,"  0"
"903","110180",5,"  0"
"904","110180",10,"  0"
"905","110180",15,"  0"
"906","110180",20,"  0"
"907","110180",25,"  0"
"908","110180",30,"  0"
"909","110180",35,"  0"
"910","110180",40,"  0"
"911","110180",45,"   0"
"912","110180",50,"   0"
"913","110180",55,"   0"
"914","110180",60,"   0"
"915","110180",65,"   0"
"916","110180",70,"   1"
"917","110180",75,"   0"
"918","110180",80,"   1"
"919","110030",0,"  12"
"920","110030",1,"  0"
"921","110030",5,"  3"
"922","110030",10,"  0"
"923","110030",15,"  0"
"924","110030",20,"  1"
"925","110030",25,"  1"
"926","110030",30,"  3"
"927","110030",35,"  3"
"928","110030",40,"  5"
"929","110030",45,"   3"
"930","110030",50,"   2"
"931","110030",55,"   6"
"932","110030",60,"   4"
"933","110030",65,"   5"
"934","110030",70,"   3"
"935","110030",75,"   8"
"936","110030",80,"   5"
"937","110000",0,"   1"
"938","110000",1,"  0"
"939","110000",5,"  0"
"940","110000",10,"  0"
"941","110000",15,"  0"
"942","110000",20,"  0"
"943","110000",25,"  1"
"944","110000",30,"  0"
"945","110000",35,"  1"
"946","110000",40,"  0"
"947","110000",45,"   0"
"948","110000",50,"   0"
"949","110000",55,"   1"
"950","110000",60,"   0"
"951","110000",65,"   1"
"952","110000",70,"   0"
"953","110000",75,"   0"
"954","110000",80,"   0"
"955","120001",0,"   1"
"956","120001",1,"  0"
"957","120001",5,"  0"
"958","120001",10,"  0"
"959","120001",15,"  0"
"960","120001",20,"  0"
"961","120001",25,"  0"
"962","120001",30,"  0"
"963","120001",35,"  0"
"964","120001",40,"  0"
"965","120001",45,"   0"
"966","120001",50,"   0"
"967","120001",55,"   0"
"968","120001",60,"   1"
"969","120001",65,"   0"
"970","120001",70,"   0"
"971","120001",75,"   0"
"972","120001",80,"   1"
"973","120010",0,"   0"
"974","120010",1,"  0"
"975","120010",5,"  0"
"976","120010",10,"  1"
"977","120010",15,"  1"
"978","120010",20,"  0"
"979","120010",25,"  0"
"980","120010",30,"  0"
"981","120010",35,"  0"
"982","120010",40,"  0"
"983","120010",45,"   1"
"984","120010",50,"   0"
"985","120010",55,"   0"
"986","120010",60,"   0"
"987","120010",65,"   1"
"988","120010",70,"   1"
"989","120010",75,"   2"
"990","120010",80,"   5"
"991","120013",0,"   1"
"992","120013",1,"  0"
"993","120013",5,"  0"
"994","120013",10,"  0"
"995","120013",15,"  0"
"996","120013",20,"  0"
"997","120013",25,"  0"
"998","120013",30,"  0"
"999","120013",35,"  0"
"1000","120013",40,"  0"
"1001","120013",45,"   0"
"1002","120013",50,"   0"
"1003","120013",55,"   1"
"1004","120013",60,"   0"
"1005","120013",65,"   1"
"1006","120013",70,"   0"
"1007","120013",75,"   0"
"1008","120013",80,"   2"
"1009","120020",0,"  22"
"1010","120020",1,"  6"
"1011","120020",5,"  2"
"1012","120020",10,"  3"
"1013","120020",15,"  0"
"1014","120020",20,"  3"
"1015","120020",25,"  0"
"1016","120020",30,"  4"
"1017","120020",35,"  1"
"1018","120020",40,"  1"
"1019","120020",45,"   4"
"1020","120020",50,"   2"
"1021","120020",55,"   5"
"1022","120020",60,"   8"
"1023","120020",65,"   6"
"1024","120020",70,"   9"
"1025","120020",75,"   8"
"1026","120020",80,"  26"
"1027","120025",0,"   0"
"1028","120025",1,"  0"
"1029","120025",5,"  0"
"1030","120025",10,"  0"
"1031","120025",15,"  0"
"1032","120025",20,"  1"
"1033","120025",25,"  0"
"1034","120025",30,"  0"
"1035","120025",35,"  0"
"1036","120025",40,"  0"
"1037","120025",45,"   0"
"1038","120025",50,"   0"
"1039","120025",55,"   0"
"1040","120025",60,"   0"
"1041","120025",65,"   0"
"1042","120025",70,"   0"
"1043","120025",75,"   0"
"1044","120025",80,"   1"
"1045","120030",0,"   6"
"1046","120030",1,"  0"
"1047","120030",5,"  2"
"1048","120030",10,"  1"
"1049","120030",15,"  1"
"1050","120030",20,"  2"
"1051","120030",25,"  2"
"1052","120030",30,"  2"
"1053","120030",35,"  2"
"1054","120030",40,"  2"
"1055","120030",45,"   1"
"1056","120030",50,"   2"
"1057","120030",55,"   0"
"1058","120030",60,"   1"
"1059","120030",65,"   1"
"1060","120030",70,"   1"
"1061","120030",75,"   2"
"1062","120030",80,"   7"
"1063","120033",0,"   0"
"1064","120033",1,"  0"
"1065","120033",5,"  0"
"1066","120033",10,"  0"
"1067","120033",15,"  0"
"1068","120033",20,"  0"
