"","Muni","Age","Death"
"531","110033",35,"   5"
"532","110033",40,"   6"
"533","110033",45,"   2"
"534","110033",50,"   4"
"535","110033",55,"   5"
"536","110033",60,"   3"
"537","110033",65,"   3"
"538","110033",70,"   8"
"539","110033",75,"   5"
"540","110033",80,"   3"
"541","110143",0,"   1"
"542","110143",1,"  0"
"543","110143",5," 0"
"544","110143",10,"  0"
"545","110143",15,"  0"
"546","110143",20,"  0"
"547","110143",25,"  0"
"548","110143",30,"  1"
"549","110143",35,"   0"
"550","110143",40,"   0"
"551","110143",45,"   1"
"552","110143",50,"   1"
"553","110143",55,"   1"
"554","110143",60,"   1"
"555","110143",65,"   1"
"556","110143",70,"   2"
"557","110143",75,"   0"
"558","110143",80,"   3"
"559","110050",0,"   0"
"560","110050",1,"  1"
"561","110050",5," 0"
"562","110050",10,"  0"
"563","110050",15,"  1"
"564","110050",20,"  1"
"565","110050",25,"  0"
"566","110050",30,"  2"
"567","110050",35,"   0"
"568","110050",40,"   2"
"569","110050",45,"   2"
"570","110050",50,"   1"
"571","110050",55,"   0"
"572","110050",60,"   2"
"573","110050",65,"   0"
"574","110050",70,"   5"
"575","110050",75,"   5"
"576","110050",80,"   6"
"577","110015",0,"   5"
"578","110015",1,"  2"
"579","110015",5," 1"
"580","110015",10,"  2"
"581","110015",15,"  1"
"582","110015",20,"  5"
"583","110015",25,"  2"
"584","110015",30,"  4"
"585","110015",35,"   2"
"586","110015",40,"   3"
"587","110015",45,"   2"
"588","110015",50,"   4"
"589","110015",55,"   8"
"590","110015",60,"   5"
"591","110015",65,"   9"
"592","110015",70,"  13"
"593","110015",75,"  15"
"594","110015",80,"  25"
"595","110145",0,"   0"
"596","110145",1,"  0"
"597","110145",5," 0"
"598","110145",10,"  0"
"599","110145",15,"  0"
"600","110145",20,"  0"
"601","110145",25,"  1"
"602","110145",30,"  0"
"603","110145",35,"   0"
"604","110145",40,"   1"
"605","110145",45,"   1"
"606","110145",50,"   1"
"607","110145",55,"   0"
"608","110145",60,"   0"
"609","110145",65,"   1"
"610","110145",70,"   0"
"611","110145",75,"   0"
"612","110145",80,"   3"
"613","110018",0,"   5"
"614","110018",1,"  1"
"615","110018",5," 0"
"616","110018",10,"  1"
"617","110018",15,"  3"
"618","110018",20,"  4"
"619","110018",25,"  3"
"620","110018",30,"  6"
"621","110018",35,"   1"
"622","110018",40,"   5"
"623","110018",45,"   2"
"624","110018",50,"   7"
"625","110018",55,"   9"
"626","110018",60,"  12"
"627","110018",65,"   7"
"628","110018",70,"   7"
"629","110018",75,"   3"
"630","110018",80,"   9"
"631","110146",0,"   2"
"632","110146",1,"  0"
"633","110146",5," 0"
"634","110146",10,"  0"
"635","110146",15,"  0"
"636","110146",20,"  0"
"637","110146",25,"  0"
"638","110146",30,"  0"
"639","110146",35,"   0"
"640","110146",40,"   0"
"641","110146",45,"   1"
"642","110146",50,"   0"
"643","110146",55,"   0"
"644","110146",60,"   0"
"645","110146",65,"   2"
"646","110146",70,"   0"
"647","110146",75,"   0"
"648","110146",80,"   1"
"649","110020",0,"  64"
"650","110020",1," 15"
"651","110020",5," 6"
"652","110020",10," 11"
"653","110020",15," 47"
"654","110020",20," 69"
"655","110020",25," 70"
"656","110020",30," 72"
"657","110020",35,"  68"
"658","110020",40,"  68"
"659","110020",45," 100"
"660","110020",50,"  82"
"661","110020",55," 110"
"662","110020",60," 105"
"663","110020",65,"  93"
"664","110020",70," 105"
"665","110020",75,"  78"
"666","110020",80," 159"
"667","110025",0,"   4"
"668","110025",1,"  0"
"669","110025",5," 0"
"670","110025",10,"  0"
"671","110025",15,"  0"
"672","110025",20,"  1"
"673","110025",25,"  0"
"674","110025",30,"  5"
"675","110025",35,"   2"
"676","110025",40,"   2"
"677","110025",45,"   3"
"678","110025",50,"   6"
"679","110025",55,"   6"
"680","110025",60,"   4"
"681","110025",65,"   5"
"682","110025",70,"   6"
"683","110025",75,"   4"
"684","110025",80,"  15"
"685","110147",0,"   0"
"686","110147",1,"  0"
"687","110147",5," 0"
"688","110147",10,"  0"
"689","110147",15,"  0"
"690","110147",20,"  0"
"691","110147",25,"  0"
"692","110147",30,"  0"
"693","110147",35,"   0"
"694","110147",40,"   1"
"695","110147",45,"   0"
"696","110147",50,"   1"
"697","110147",55,"   1"
"698","110147",60,"   0"
"699","110147",65,"   3"
"700","110147",70,"   1"
"701","110147",75,"   1"
"702","110147",80,"   2"
"703","110026",0,"   0"
"704","110026",1,"  0"
"705","110026",5," 0"
"706","110026",10,"  0"
"707","110026",15,"  0"
"708","110026",20,"  0"
"709","110026",25,"  1"
"710","110026",30,"  0"
"711","110026",35,"   0"
"712","110026",40,"   1"
"713","110026",45,"   2"
"714","110026",50,"   1"
"715","110026",55,"   0"
"716","110026",60,"   0"
"717","110026",65,"   3"
"718","110026",70,"   2"
"719","110026",75,"   0"
"720","110026",80,"   3"
"721","110028",0,"   4"
"722","110028",1,"  1"
"723","110028",5," 1"
"724","110028",10,"  1"
"725","110028",15,"  3"
"726","110028",20,"  1"
"727","110028",25,"  3"
"728","110028",30,"  2"
"729","110028",35,"   5"
"730","110028",40,"   5"
"731","110028",45,"   7"
"732","110028",50,"  10"
"733","110028",55,"   6"
"734","110028",60,"  15"
"735","110028",65,"  16"
"736","110028",70,"  18"
"737","110028",75,"  14"
"738","110028",80,"  20"
"739","110029",0,"   1"
"740","110029",1,"  0"
"741","110029",5," 0"
"742","110029",10,"  0"
"743","110029",15,"  0"
"744","110029",20,"  1"
"745","110029",25,"  0"
"746","110029",30,"  2"
"747","110029",35,"   0"
"748","110029",40,"   2"
"749","110029",45,"   3"
"750","110029",50,"   1"
"751","110029",55,"   2"
"752","110029",60,"   3"
"753","110029",65,"   3"
"754","110029",70,"   4"
"755","110029",75,"   3"
