Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
330395 Pinheiral;1;0;0;1;1;0;0;1;4;1;3;2;5;8;11;8;16;8;7;9;15;0;100
330400 Piraí;1;3;0;4;0;0;0;1;4;2;2;3;5;7;8;9;14;8;10;7;28;0;112
330410 Porciúncula;1;1;0;2;1;0;0;0;2;1;0;2;4;4;3;4;8;6;4;8;19;0;68
330411 Porto Real;0;0;0;0;0;0;0;0;3;2;0;4;6;2;6;7;6;4;5;10;8;0;63
330412 Quatis;1;1;0;2;0;0;0;1;0;0;1;1;2;2;5;2;4;7;8;5;10;0;50
330414 Queimados;14;1;6;21;2;3;4;11;26;12;22;20;33;32;51;45;52;58;59;49;74;5;579
330415 Quissamã;1;0;0;1;1;0;0;1;2;1;3;0;3;6;7;7;7;6;8;10;13;0;76
330420 Resende;7;3;4;14;2;1;2;8;15;15;17;14;13;21;34;33;45;34;41;35;84;0;428
330430 Rio Bonito;2;1;2;5;0;0;1;4;5;5;9;6;11;8;20;15;18;25;28;29;48;0;237
330440 Rio Claro;0;0;1;1;0;0;1;0;1;1;1;3;2;4;4;3;10;8;9;7;18;0;73
330450 Rio das Flores;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;4;4;2;3;4;10;0;32
330452 Rio das Ostras;6;1;1;8;1;1;3;7;16;10;11;13;11;19;15;28;43;28;32;29;36;0;311
330455 Rio de Janeiro;263;93;221;577;97;63;96;422;567;639;640;634;798;1154;1707;2306;2451;2609;2843;3048;5821;42;26514
330460 Santa Maria Madalena;3;1;0;4;1;0;0;3;0;0;0;2;0;2;2;1;3;3;5;5;15;0;46
330470 Santo Antônio de Pádua;4;1;1;6;1;1;0;4;2;3;5;2;6;7;15;13;20;13;23;20;53;0;194
330480 São Fidélis;0;1;2;3;1;0;0;1;4;2;6;5;6;13;15;12;22;9;25;16;49;0;189
