Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
421070 Matos Costa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;1;3;0;9
421080 Meleiro;0;1;0;1;0;0;0;0;0;0;0;0;2;2;2;1;2;5;4;3;7;0;29
421085 Mirim Doce;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;4
421090 Modelo;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;5;3;0;15
421100 Mondaí;0;0;0;0;1;0;1;2;0;0;0;0;2;1;4;2;3;3;2;3;7;0;31
421105 Monte Carlo;1;0;0;1;0;1;0;0;0;1;0;0;2;1;0;2;6;2;2;2;3;0;23
421110 Monte Castelo;1;1;0;2;0;0;0;2;0;0;1;1;3;2;8;0;6;2;5;5;5;0;42
421120 Morro da Fumaça;0;0;1;1;0;0;0;2;0;0;3;2;3;4;5;3;2;5;11;3;7;1;52
421125 Morro Grande;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;1;1;0;0;2;1;0;10
421130 Navegantes;7;2;1;10;0;0;1;9;5;10;10;14;11;18;15;26;19;24;25;17;24;0;238
421140 Nova Erechim;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;0;2;3;0;13
421145 Nova Itaberaba;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;5
421150 Nova Trento;1;0;2;3;0;0;0;0;1;0;1;0;1;5;4;3;1;3;0;7;4;0;33
421160 Nova Veneza;0;0;0;0;0;1;0;1;0;2;0;0;1;5;3;2;5;1;5;2;13;0;41
421165 Novo Horizonte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;1;0;7
421170 Orleans;2;0;1;3;0;0;0;0;2;1;2;1;4;7;2;5;9;8;3;15;16;0;78
421175 Otacílio Costa;1;0;1;2;0;0;0;0;0;1;1;2;2;3;4;3;4;5;6;0;13;1;47
421180 Ouro;0;0;1;1;0;0;1;1;0;0;0;0;2;2;2;0;3;1;0;3;5;0;21
421185 Ouro Verde;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;2;1;0;8
421187 Paial;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;4
421189 Painel;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;3;1;0;2;0;10
421190 Palhoça;5;2;5;12;0;1;3;9;10;12;15;12;20;24;29;32;40;37;39;30;62;0;387
421200 Palma Sola;1;0;0;1;0;0;0;1;1;1;0;1;1;0;4;4;6;3;1;4;7;0;35
421205 Palmeira;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;2;1;0;0;7
421210 Palmitos;1;0;0;1;0;3;0;1;1;1;0;5;0;5;3;6;6;5;7;4;16;0;64
421220 Papanduva;0;0;3;3;0;0;1;1;3;0;3;6;3;4;8;9;5;8;10;10;22;0;96
421223 Paraíso;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;3;3;3;1;3;0;17
421225 Passo de Torres;0;0;0;0;0;0;0;1;1;0;0;0;2;0;1;0;2;3;2;2;2;0;16
421227 Passos Maia;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;1;1;2;1;0;11
421230 Paulo Lopes;0;0;0;0;0;0;0;2;1;1;0;1;1;1;4;1;4;3;5;3;9;0;36
421240 Pedras Grandes;1;0;0;1;0;0;0;0;1;0;0;0;1;1;2;1;1;0;2;2;4;0;16
421250 Penha;1;1;0;2;1;0;0;3;1;3;3;2;6;7;10;8;13;11;7;11;14;0;102
421260 Peritiba;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;2;2;0;9
421270 Petrolândia;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;2;0;1;7;0;14
421290 Pinhalzinho;1;1;0;2;0;0;0;3;3;0;1;0;0;0;1;3;4;3;7;5;6;0;38
421300 Pinheiro Preto;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;2;0;8
421310 Piratuba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;1;3;0;9
421315 Planalto Alegre;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;3;0;3;2;0;12
421320 Pomerode;2;0;2;4;0;0;0;1;2;1;1;4;4;6;7;13;9;18;20;18;16;0;124
421330 Ponte Alta;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;4;1;1;2;3;1;0;16
421335 Ponte Alta do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;4;0;10
421340 Ponte Serrada;1;0;1;2;0;0;0;2;4;1;0;3;2;5;1;2;4;1;9;2;9;0;47
421350 Porto Belo;0;0;0;0;0;0;1;0;1;0;0;1;1;4;3;5;2;7;6;6;11;0;48
421360 Porto União;2;0;1;3;1;0;2;0;6;3;2;4;3;6;7;6;7;16;17;12;23;0;118
421370 Pouso Redondo;0;0;0;0;1;0;0;1;2;2;0;2;4;3;4;6;9;9;3;5;12;0;63
421380 Praia Grande;2;0;2;4;0;0;0;0;1;0;1;0;1;3;1;4;2;1;0;6;3;0;27
421390 Presidente Castello Branco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;6
421400 Presidente Getúlio;1;1;1;3;0;0;0;0;1;1;0;1;1;1;3;2;6;6;8;6;16;0;55
421410 Presidente Nereu;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;4;3;2;0;13
421415 Princesa;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;2;2;3;0;0;10
421420 Quilombo;1;0;0;1;0;0;0;0;0;0;0;0;2;1;0;3;3;2;4;2;13;0;31
421430 Rancho Queimado;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;1;0;0;0;5;0;11
421440 Rio das Antas;0;0;0;0;0;0;0;0;0;1;0;2;3;1;2;1;1;3;4;2;2;0;22
421450 Rio do Campo;0;0;0;0;0;1;0;1;0;0;0;1;1;2;4;3;4;3;3;3;2;0;28
421460 Rio do Oeste;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;4;5;3;3;6;10;0;36
421480 Rio do Sul;4;0;3;7;0;1;0;4;4;6;6;3;8;15;14;24;16;15;14;15;49;0;201
421470 Rio dos Cedros;0;0;0;0;1;0;0;1;0;0;1;1;0;2;4;2;3;3;3;5;11;0;37
421490 Rio Fortuna;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;1;1;3;0;2;10;0;22
421500 Rio Negrinho;3;0;0;3;0;0;1;7;4;3;5;5;7;8;9;7;13;11;18;10;24;0;135
421505 Rio Rufino;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3
421507 Riqueza;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;3;4;3;4;7;0;25
421510 Rodeio;0;0;2;2;0;0;0;0;0;1;0;1;2;2;4;1;2;8;7;9;11;0;50
421520 Romelândia;0;0;0;0;0;0;0;1;0;0;0;1;0;3;3;3;4;0;2;1;2;0;20
421530 Salete;0;0;0;0;0;1;0;1;1;1;0;1;2;2;4;3;2;3;1;2;4;0;28
421535 Saltinho;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;3;2;0;9
421540 Salto Veloso;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2;4;2;0;12
421545 Sangão;1;0;0;1;2;0;0;4;2;1;1;2;2;1;5;4;2;4;0;0;9;0;40
421550 Santa Cecília;3;1;0;4;1;0;0;3;2;1;1;1;0;1;3;5;8;6;4;5;10;0;55
421555 Santa Helena;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;1;3;0;10
421560 Santa Rosa de Lima;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;1;0;1;0;0;6
421565 Santa Rosa do Sul;0;0;0;0;0;0;0;1;1;1;0;1;1;2;2;2;4;4;4;3;7;0;33
421567 Santa Terezinha;2;0;0;2;0;1;0;1;0;2;1;1;0;0;2;2;5;2;1;2;5;0;27
421568 Santa Terezinha do Progresso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;1;1;0;7
421569 Santiago do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;5
421570 Santo Amaro da Imperatriz;0;0;0;0;0;0;1;1;1;4;0;3;3;4;1;6;7;7;5;8;13;0;64
421580 São Bento do Sul;6;2;2;10;2;0;1;8;8;10;4;5;9;13;12;22;26;24;26;22;38;0;240
421575 São Bernardino;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;2;1;1;1;2;0;10
421590 São Bonifácio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;1;2;2;0;15
421600 São Carlos;1;0;1;2;0;0;0;0;1;1;2;0;1;6;1;3;3;4;6;5;8;0;43
421605 São Cristovão do Sul;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;3;1;0;0;3;1;0;14
421610 São Domingos;0;0;0;0;0;0;0;0;1;1;2;1;0;3;2;2;2;9;7;4;3;0;37
421620 São Francisco do Sul;4;0;1;5;1;1;0;1;5;6;6;10;11;6;18;18;24;14;19;10;21;0;176
421630 São João Batista;1;0;0;1;0;0;0;2;3;3;0;0;2;4;6;7;8;12;4;5;11;0;68
421635 São João do Itaperiú;0;0;0;0;0;0;0;1;1;1;1;1;0;2;0;0;0;1;2;3;0;0;13
421625 São João do Oeste;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;1;0;1;3;4;0;13
421640 São João do Sul;0;1;0;1;0;0;0;0;1;1;0;0;0;3;0;2;2;1;4;2;2;0;19
421650 São Joaquim;0;0;0;0;1;0;0;1;0;0;1;1;5;8;4;5;2;10;7;11;13;0;69
421660 São José;3;1;7;11;5;4;4;14;15;25;20;22;34;46;38;58;64;50;66;45;102;0;623
421670 São José do Cedro;0;1;0;1;0;0;0;1;1;0;1;1;1;1;6;5;3;3;2;1;7;0;34
421680 São José do Cerrito;1;0;0;1;0;0;0;2;0;1;1;1;3;1;1;3;2;4;3;6;10;0;39
421690 São Lourenço do Oeste;2;2;0;4;0;0;1;1;3;3;5;2;2;2;5;7;13;5;8;20;13;0;94
421700 São Ludgero;0;0;0;0;0;1;0;4;2;1;1;0;1;1;4;2;3;6;2;1;6;0;35
421710 São Martinho;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;1;3;6;0;15
421715 São Miguel da Boa Vista;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;1;4;2;0;12
421720 São Miguel do Oeste;3;1;1;5;1;1;0;5;1;1;1;6;4;6;2;12;9;12;11;11;24;0;112
421725 São Pedro de Alcântara;0;0;0;0;0;0;0;0;0;1;2;1;0;1;0;0;3;2;1;2;2;0;15
421730 Saudades;1;0;0;1;0;0;0;1;3;1;0;0;0;2;1;1;5;3;3;6;8;0;35
421740 Schroeder;0;0;0;0;0;0;0;1;0;1;1;0;1;3;1;2;7;3;6;3;9;0;38
421750 Seara;0;0;0;0;0;0;0;1;0;2;3;1;0;2;4;3;4;6;5;3;16;0;50
421755 Serra Alta;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;2;1;2;0;2;0;10
421760 Siderópolis;0;0;0;0;0;0;0;0;1;1;1;0;1;4;3;5;1;5;4;3;11;0;40
421770 Sombrio;2;0;2;4;0;0;1;2;4;0;3;2;4;6;11;7;7;11;8;11;18;0;99
421775 Sul Brasil;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;5
421780 Taió;0;1;1;2;1;0;0;2;0;1;1;0;1;1;4;3;6;6;8;7;12;0;55
421790 Tangará;0;0;0;0;0;0;0;0;0;1;1;1;3;1;3;4;1;3;3;6;12;0;39
421795 Tigrinhos;0;0;1;1;0;0;1;0;0;0;0;2;0;0;1;2;2;0;1;1;2;0;13
421800 Tijucas;1;0;3;4;0;0;1;2;3;5;3;6;4;9;10;9;6;14;7;10;24;0;117
421810 Timbé do Sul;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;0;2;1;1;1;0;11
421820 Timbó;5;0;0;5;0;0;1;2;0;5;5;2;8;8;4;12;7;16;26;15;27;0;143
421825 Timbó Grande;0;0;1;1;0;0;0;0;1;1;0;0;1;0;1;2;0;2;1;3;0;0;13
421830 Três Barras;0;0;0;0;1;0;0;1;2;2;1;1;4;5;4;9;6;4;8;6;14;0;68
421835 Treviso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;1;3;4;0;13
421840 Treze de Maio;0;0;0;0;0;0;0;1;2;1;1;2;1;0;1;1;3;5;3;1;4;0;26
421850 Treze Tílias;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;2;0;1;3;4;3;0;18
421860 Trombudo Central;0;0;0;0;0;0;0;1;0;0;1;1;2;2;2;1;2;3;1;4;6;0;26
421870 Tubarão;4;1;1;6;0;0;3;3;8;12;13;9;19;26;29;30;32;43;37;36;63;0;369
421875 Tunápolis;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;2;0;1;2;3;5;0;17
421880 Turvo;1;1;1;3;0;0;0;3;1;1;0;1;1;3;1;4;2;5;6;3;7;0;41
421885 União do Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;2;1;0;9
421890 Urubici;0;0;1;1;0;0;0;0;0;0;1;3;1;1;1;0;3;2;1;4;9;0;27
421895 Urupema;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;4
421900 Urussanga;4;0;0;4;0;0;0;3;3;0;3;1;1;4;5;5;8;12;9;9;22;0;89
421910 Vargeão;1;0;0;1;0;0;0;1;0;0;1;1;2;2;1;0;1;0;2;0;5;0;17
421915 Vargem;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;1;1;1;3;2;0;12
421917 Vargem Bonita;1;0;0;1;0;1;0;0;0;0;1;2;0;1;0;1;0;2;1;1;4;0;15
421920 Vidal Ramos;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;1;2;3;5;0;16
421930 Videira;3;1;2;6;0;0;0;1;7;9;10;2;5;5;10;16;13;15;27;13;29;0;168
421935 Vitor Meireles;0;0;0;0;0;0;0;0;0;1;1;0;1;1;2;2;3;2;2;3;3;0;21
421940 Witmarsum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;5;0;10
421950 Xanxerê;1;0;1;2;1;0;0;4;2;2;4;3;2;10;12;9;12;13;14;10;29;0;129
421960 Xavantina;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;2;1;0;1;4;0;13
421970 Xaxim;0;1;0;1;0;0;0;1;2;4;3;2;3;3;8;5;4;6;9;9;17;0;77
421985 Zortéa;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3
420000 Município ignorado - SC;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;4
430003 Aceguá;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;4;6;4;6;3;0;28
430005 Água Santa;0;0;1;1;0;0;0;0;0;0;0;1;1;0;2;0;0;1;3;4;5;0;18
430010 Agudo;0;0;0;0;0;0;0;0;0;1;2;2;3;6;4;8;5;8;15;6;20;0;80
430020 Ajuricaba;0;0;0;0;0;0;0;0;1;0;1;2;0;0;2;2;3;2;9;4;12;0;38
430030 Alecrim;0;0;0;0;0;0;0;0;0;0;1;1;0;1;4;2;1;5;8;5;13;0;41
430040 Alegrete;2;2;3;7;1;0;1;4;5;5;6;7;10;11;27;29;31;36;57;47;94;0;378
430045 Alegria;0;1;0;1;0;0;0;0;0;0;1;0;2;2;5;2;4;3;3;1;3;0;27
430047 Almirante Tamandaré do Sul;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;4;0;8
430050 Alpestre;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;2;2;6;2;2;10;0;28
430055 Alto Alegre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;5
430057 Alto Feliz;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;1;3;2;3;2;0;16
430060 Alvorada;10;4;9;23;0;1;5;29;51;44;34;34;47;52;79;87;60;79;77;56;73;7;838
430063 Amaral Ferrador;0;0;1;1;0;1;0;0;1;0;0;1;1;0;3;3;1;2;0;0;3;0;17
430064 Ametista do Sul;1;1;0;2;0;0;0;1;4;0;1;0;1;2;2;1;5;1;2;3;7;0;32
430070 Anta Gorda;1;0;0;1;0;0;0;0;1;0;1;0;0;2;1;0;4;4;1;6;9;0;30
430080 Antônio Prado;0;1;0;1;0;0;0;2;3;1;0;1;2;1;3;2;6;3;7;10;8;0;50
430085 Arambaré;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;1;1;3;1;5;0;15
430087 Araricá;0;0;1;1;0;0;0;1;1;0;0;0;2;0;1;1;4;1;5;3;4;0;24
430090 Aratiba;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;4;2;2;11;0;24
430100 Arroio do Meio;0;1;3;4;0;1;0;0;0;1;3;2;0;1;3;5;7;9;12;11;12;0;71
430107 Arroio do Padre;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;2;1;0;7
430105 Arroio do Sal;1;0;0;1;0;0;0;0;2;0;0;0;0;0;2;3;4;4;3;4;2;0;25
430120 Arroio do Tigre;2;0;0;2;0;0;0;1;1;5;3;3;5;5;6;3;6;4;4;8;12;0;68
430110 Arroio dos Ratos;2;0;0;2;0;1;1;1;1;2;0;1;1;3;9;6;5;6;9;6;10;0;64
430130 Arroio Grande;0;0;1;1;0;1;0;0;0;0;2;0;5;4;4;8;7;11;10;6;23;0;82
430140 Arvorezinha;1;0;0;1;0;0;1;0;0;1;0;0;1;1;3;1;3;4;2;4;10;0;32
430150 Augusto Pestana;1;1;0;2;0;0;0;0;1;0;0;0;0;0;0;1;4;5;3;5;13;0;34
430155 Áurea;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;2;2;2;2;4;2;0;17
430160 Bagé;5;4;6;15;0;1;0;3;6;5;6;11;8;25;35;41;51;63;53;64;123;0;510
430163 Balneário Pinhal;0;0;1;1;0;0;0;1;0;1;3;0;1;2;2;8;9;7;3;5;9;0;52
430165 Barão;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;4;3;2;2;3;0;20
430170 Barão de Cotegipe;0;0;0;0;0;0;0;0;0;0;1;0;2;1;2;3;3;0;4;2;5;0;23
430175 Barão do Triunfo;0;0;0;0;0;0;0;1;0;2;0;1;1;4;0;0;3;1;1;2;2;0;18
430185 Barra do Guarita;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;1;1;0;6
430187 Barra do Quaraí;2;0;0;2;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;4;0;11
430190 Barra do Ribeiro;0;0;0;0;0;0;0;1;2;1;0;1;2;3;3;4;6;8;6;8;12;1;58
430192 Barra do Rio Azul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;5
430195 Barra Funda;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
430180 Barracão;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;3;1;5;4;1;0;18
430200 Barros Cassal;0;0;0;0;0;1;0;0;0;1;1;0;2;5;4;5;4;6;8;3;13;0;53
430205 Benjamin Constant do Sul;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;3;0;0;2;1;0;9
430210 Bento Gonçalves;4;2;1;7;3;0;1;8;6;5;10;10;10;12;23;23;28;42;40;39;75;0;342
430215 Boa Vista das Missões;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;2;0;7
430220 Boa Vista do Buricá;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3;1;0;0;3;5;7;0;22
430222 Boa Vista do Cadeado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;0;4;0;11
430223 Boa Vista do Incra;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;5;0;11
430225 Boa Vista do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;3;2;0;10
430230 Bom Jesus;0;0;0;0;0;0;0;2;1;0;1;3;0;5;1;3;6;5;7;10;11;0;55
430235 Bom Princípio;1;0;0;1;0;0;0;0;1;0;2;1;2;2;1;2;3;5;4;3;7;0;34
430237 Bom Progresso;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;1;4;0;9
430240 Bom Retiro do Sul;0;0;0;0;0;0;0;0;0;0;1;0;1;2;5;4;8;4;5;7;6;0;43
430245 Boqueirão do Leão;0;0;0;0;0;0;0;1;0;0;2;1;2;1;0;5;1;5;6;6;6;0;36
430250 Bossoroca;0;0;0;0;0;0;0;0;0;1;0;1;1;0;3;3;2;5;4;6;11;0;37
430258 Bozano;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;8;0;13
430260 Braga;0;0;0;0;1;0;0;0;0;0;0;1;1;1;2;0;2;2;4;1;2;1;18
430265 Brochier;0;1;0;1;0;0;0;0;0;0;1;0;2;2;3;2;5;3;4;1;10;0;34
430270 Butiá;0;0;1;1;0;0;0;3;1;3;1;2;0;5;8;7;2;11;9;12;24;0;89
430280 Caçapava do Sul;1;1;0;2;2;0;1;4;2;1;3;0;4;7;10;14;15;33;12;22;55;1;188
430290 Cacequi;1;0;0;1;0;0;1;2;2;1;3;1;0;2;8;3;3;4;5;5;8;0;49
430300 Cachoeira do Sul;3;1;2;6;2;2;0;2;4;8;8;5;9;17;19;38;39;64;48;66;123;0;460
430310 Cachoeirinha;5;0;2;7;2;2;1;7;13;11;14;13;12;26;50;31;54;42;51;42;52;0;430
430320 Cacique Doble;1;0;0;1;0;0;0;2;0;0;0;1;0;0;1;0;2;2;4;3;9;0;25
430330 Caibaté;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;2;3;3;2;0;5;0;20
430340 Caiçara;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;3;0;1;3;2;1;0;13
430350 Camaquã;4;0;2;6;0;1;0;1;0;6;10;5;10;13;14;16;22;31;36;29;74;0;274
430355 Camargo;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;5;0;10
430360 Cambará do Sul;1;0;0;1;0;0;1;0;0;0;0;3;0;3;0;2;1;3;5;4;6;0;29
430367 Campestre da Serra;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;1;2;3;0;10
430370 Campina das Missões;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;5;2;10;5;6;7;0;40
430380 Campinas do Sul;0;0;0;0;0;0;0;0;2;0;2;0;1;1;7;1;2;4;2;6;1;1;30
430390 Campo Bom;3;0;0;3;2;0;0;2;0;5;5;8;4;9;15;21;22;23;23;29;34;0;205
430400 Campo Novo;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;2;4;2;8;0;20
430410 Campos Borges;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;2;2;1;1;4;0;14
430420 Candelária;1;0;3;4;1;1;0;3;5;2;6;5;3;7;9;8;19;9;11;16;35;0;144
430430 Cândido Godói;1;0;0;1;0;0;0;0;1;0;0;0;0;1;5;0;0;2;5;4;6;0;25
430435 Candiota;0;0;0;0;0;0;0;0;1;1;2;0;3;1;1;2;3;3;3;0;4;0;24
430440 Canela;5;0;2;7;0;0;0;3;2;6;5;7;5;11;11;14;14;16;8;15;33;0;157
430450 Canguçu;4;0;2;6;0;0;0;1;1;4;6;5;8;7;11;16;27;20;38;36;66;0;252
430460 Canoas;14;7;13;34;5;1;5;25;45;45;42;41;54;71;90;112;125;103;140;130;227;3;1298
430461 Canudos do Vale;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;3;0;2;0;0;8
430462 Capão Bonito do Sul;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;5;0;8
430463 Capão da Canoa;1;0;2;3;0;0;1;5;3;5;5;7;9;13;7;14;18;17;13;17;22;1;160
430465 Capão do Cipó;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;1;4;0;1;2;0;12
430466 Capão do Leão;0;0;0;0;0;1;0;1;1;0;4;2;2;11;8;11;15;8;8;9;11;0;92
430468 Capela de Santana;0;0;0;0;0;0;0;0;0;0;0;1;2;3;1;3;8;5;2;5;10;0;40
430469 Capitão;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;5;3;0;11
430467 Capivari do Sul;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;2;2;0;5;3;2;18
430471 Caraá;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;4;4;6;2;2;9;0;30
430470 Carazinho;5;0;2;7;3;0;1;3;4;7;5;0;7;13;23;22;25;25;27;25;52;0;249
430480 Carlos Barbosa;2;1;0;3;0;0;0;1;0;0;0;2;1;4;1;6;7;5;7;8;23;0;68
430485 Carlos Gomes;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;3
430490 Casca;0;0;0;0;0;0;0;1;0;1;0;0;0;2;2;1;6;1;6;6;8;0;34
430495 Caseiros;1;0;1;2;0;0;0;1;0;1;0;0;0;1;0;1;1;3;2;1;2;0;15
430500 Catuípe;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;5;5;3;8;6;12;0;45
430510 Caxias do Sul;13;7;9;29;5;1;6;30;37;47;47;48;44;64;89;117;112;118;147;138;273;0;1352
430511 Centenário;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;3;2;4;0;14
430512 Cerrito;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;3;4;4;9;2;6;0;32
430513 Cerro Branco;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;2;5;3;2;5;5;0;26
430515 Cerro Grande;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;2;2;3;0;3;1;0;14
430517 Cerro Grande do Sul;0;0;1;1;0;0;0;0;2;1;1;1;2;4;1;0;0;1;6;4;10;0;34
430520 Cerro Largo;1;0;0;1;0;0;0;0;0;0;1;1;1;1;4;3;4;5;11;11;27;0;70
430530 Chapada;1;0;0;1;0;0;0;0;0;1;0;0;0;3;2;4;7;5;7;8;12;0;50
430535 Charqueadas;1;0;0;1;0;3;0;1;5;7;3;1;4;5;9;8;7;13;19;13;11;1;111
430537 Charrua;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;3;1;0;2;3;0;12
430540 Chiapetta;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;3;1;0;5;0;2;0;15
430543 Chuí;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;2;0;2;0;8
430544 Chuvisca;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;3;1;1;1;1;5;0;15
430545 Cidreira;0;0;0;0;0;0;0;0;0;2;2;2;3;2;3;3;8;13;11;3;9;0;61
430550 Ciríaco;0;0;0;0;0;0;0;1;1;0;1;0;1;2;0;1;3;2;0;1;6;0;19
